artist,song
Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
WILLOW,Wait a Minute!
Desiigner,Tiimmy Turner
G-Eazy,"Me, Myself & I"
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016)
Astrid S,Hurts So Good
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
Twenty One Pilots,Heathens
Future,Low Life (feat. The Weeknd)
Galantis,No Money
The Chainsmokers,Don't Let Me Down
Tinie Tempah,Girls Like (feat. Zara Larsson)
Alok,Hear Me Now
Jon Bellion,All Time Low
Cheat Codes,Sex
Meghan Trainor,NO
Dua Lipa,Hotter Than Hell
Martin Garrix,In the Name of Love
Alan Walker,Faded
Tove Lo,Cool Girl
DJ Snake,Let Me Love You
Calvin Harris,This Is What You Came For (feat. Rihanna)
Mike Posner,I Took A Pill In Ibiza - Seeb Remix
Kevin Gates,2 Phones
Rihanna,Needed Me
Ariana Grande,Side To Side
Marshmello,Alone
Shawn Mendes,I Know What You Did Last Summer
Selena Gomez,Same Old Love
Calvin Harris,My Way
Fitz and The Tantrums,HandClap
Twenty One Pilots,Ride
Flo Rida,My House
Ariana Grande,Dangerous Woman
Anne-Marie,Alarm
Charlie Puth,We Don't Talk Anymore (feat. Selena Gomez)
AlunaGeorge,I'm In Control
Enrique Iglesias,DUELE EL CORAZON (feat. Wisin)
MNEK,Never Forget You
Mike Perry,The Ocean (feat. Shy Martin)
Drake,Hotline Bling
Ariana Grande,Into You
Shawn Mendes,Treat You Better
Tory Lanez,Say It
Coldplay,Adventure of a Lifetime
Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners
SAYGRACE,You Don't Own Me (feat. G-Eazy)
X Ambassadors,Renegades
DNCE,Cake By The Ocean
99 Souls,The Girl Is Mine
Illy,Papercuts (feat. Vera Blue)
Kiiara,Gold
Kygo,Stole the Show
Fifth Harmony,Work from Home (feat. Ty Dolla $ign)
Drake,Pop Style
ZAYN,PILLOWTALK
Alessia Cara,Here
DJ Snake,Middle
Sigala,Sweet Lovin' - Radio Edit
Drake,Jumpman
Charlie Puth,Dangerously
Nick Jonas,Close
Jonas Blue,Perfect Strangers
Major Lazer,Cold Water (feat. Justin Bieber & MØ)
The Chainsmokers,Roses
Tory Lanez,LUV
P!nk,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"
Bryson Tiller,Don't
Steve Aoki,Just Hold On
Clean Bandit,Tears (feat. Louisa Johnson)
Jonas Blue,Fast Car
Flume,Never Be Like You
Bastille,Good Grief
Sia,The Greatest (feat. Kendrick Lamar)
PARTYNEXTDOOR,Not Nice
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)"
Hilltop Hoods,1955
Fifth Harmony,All In My Head (Flex) (feat. Fetty Wap)
Daya,"Sit Still, Look Pretty"
Kent Jones,Don't Mind
Flume,Say It
Bryson Tiller,Exchange
MØ,Final Song
Beyoncé,Sorry
Little Mix,Shout Out to My Ex
The Lumineers,Ophelia
Frank Ocean,Pink + White
Drake,Too Good
Ed Sheeran,Shape of You
Sean Paul,No Lie
Luis Fonsi,Despacito (Featuring Daddy Yankee)
Sam Smith,Too Good At Goodbyes
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie)
Camila Cabello,Havana (feat. Young Thug)
Imagine Dragons,Thunder
Maroon 5,Don't Wanna Know (feat. Kendrick Lamar)
The Chainsmokers,Something Just Like This
Ed Sheeran,Perfect
MGMT,Little Dark Age
Travis Scott,goosebumps
Billie Eilish,Bored
Future,Mask Off
G-Eazy,Him & I
Maroon 5,Cold (feat. Future)
Rae Sremmurd,Swang
Lil Peep,Save That Shit
A$AP Ferg,Plain Jane
French Montana,Unforgettable
21 Savage,Bank Account
Axwell /\ Ingrosso,More Than You Know
ZAYN,Dusk Till Dawn (feat. Sia) - Radio Edit
J Balvin,Mi Gente
Jax Jones,You Don't Know Me - Radio Edit
Rae Sremmurd,Black Beatles
Zara Larsson,Ain't My Fault
Travis Scott,BUTTERFLY EFFECT
Ayo & Teo,Rolex
Lil Uzi Vert,XO Tour Llif3
Imagine Dragons,Whatever It Takes
Rob $tone,Chill Bill (feat. J. Davi$ & Spooks)
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
G-Eazy,No Limit
Playboi Carti,Magnolia
Chord Overstreet,Hold On
Jax Jones,Breathe
Imagine Dragons,Believer
Natti Natasha,Criminal
Kendrick Lamar,HUMBLE.
Selena Gomez,Fetish (feat. Gucci Mane)
Charlie Puth,Attention
Big Shaq,Man's Not Hot
Anne-Marie,Ciao Adios
Rag'n'Bone Man,Human
blackbear,do re mi
Lil Pump,Gucci Gang
Taylor Swift,Look What You Made Me Do
Enrique Iglesias,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)
Kodak Black,Tunnel Vision
Kendrick Lamar,DNA.
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black)
XXXTENTACION,Jocelyn Flores
Migos,Bad and Boujee (feat. Lil Uzi Vert)
Yo Gotti,Rake It Up (feat. Nicki Minaj)
Martin Garrix,Scared to Be Lonely
Jonas Blue,Mama
Martin Jensen,Solo Dance
Taylor Swift,...Ready For It?
David Guetta,2U (feat. Justin Bieber)
Migos,Slippery (feat. Gucci Mane)
Shawn Mendes,There's Nothing Holdin' Me Back
G-Eazy,Good Life (with G-Eazy & Kehlani)
The Vamps,All Night
Dua Lipa,New Rules
Cardi B,Bodak Yellow
Rag'n'Bone Man,Skin
Zara Larsson,I Would Like
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller)
Post Malone,Congratulations
Avicii,Without You (feat. Sandro Cavazza)
Clean Bandit,Symphony (feat. Zara Larsson)
Katy Perry,Chained To The Rhythm
Zay Hilfigerrr,Juju on That Beat (TZ Anthem)
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)"
Migos,T-Shirt
OneRepublic,Rich Love (with Seeb)
Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix
Macklemore,Glorious (feat. Skylar Grey)
Hayden James,NUMB
Liam Payne,Strip That Down
Drake,Passionfruit
Justin Bieber,Friends (with BloodPop®)
ZAYN,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
Alessia Cara,Scars To Your Beautiful
2 Chainz,It's A Vibe
Starley,Call on Me - Ryan Riback Remix
AJR,Weak
Lana Del Rey,Lust for Life (with The Weeknd)
CNCO,Reggaetón Lento (Remix)
The Vamps,Middle Of The Night
The Weeknd,I Feel It Coming
The Chainsmokers,Paris
Big Sean,Bounce Back
Shawn Mendes,Mercy
Avicii,Lonely Together (feat. Rita Ora)
Cheat Codes,No Promises (feat. Demi Lovato)
Bruno Mars,24K Magic
Lorde,Homemade Dynamite - REMIX
Kygo,It Ain't Me (with Selena Gomez)
Drake,God's Plan
Post Malone,rockstar (feat. 21 Savage)
Offset,Ric Flair Drip (with Metro Boomin)
G-Eazy,Him & I (with Halsey)
Dynoro,In My Mind
Juice WRLD,Lucid Dreams
Zedd,The Middle
Marshmello,FRIENDS
Cardi B,I Like It
XXXTENTACION,Moonlight
Ariana Grande,no tears left to cry
Sheck Wes,Mo Bamba
Calvin Harris,One Kiss (with Dua Lipa)
Tyga,Taste (feat. Offset)
Travis Scott,SICKO MODE
Imagine Dragons,Natural
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)"
Marshmello,Spotlight
The Weeknd,Pray For Me (with Kendrick Lamar)
Billie Eilish,lovely (with Khalid)
Migos,Walk It Talk It
Clean Bandit,Solo (feat. Demi Lovato)
Drake,Nonstop
6ix9ine,FEFE
The Weeknd,Call Out My Name
Nio Garcia,Te Boté - Remix
Migos,MotorSport
Nicky Jam,X
XXXTENTACION,SAD!
Becky G,Sin Pijama
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)"
6ix9ine,GUMMO
Jax Jones,Breathe
The Chainsmokers,Sick Boy
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)"
Rich The Kid,Plug Walk
Kendrick Lamar,All The Stars (with SZA)
Logic,Everyday
Jason Derulo,Tip Toe (feat. French Montana)
Ariana Grande,God is a woman
Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM
EO,German
Dennis Lloyd,Nevermind
girl in red,we fell in love in october
Selena Gomez,Wolves
Tiësto,Jackie Chan
Tom Walker,Leave a Light On
Sofía Reyes,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
Marshmello,Silence
5 Seconds of Summer,Youngblood
Loud Luxury,Body (feat. brando)
Liam Payne,For You (Fifty Shades Freed) (& Rita Ora)
NF,Let You Down
XXXTENTACION,changes
Maluma,Corazón (feat. Nego do Borel)
Cardi B,Bodak Yellow
Lil Baby,Yes Indeed
Jonas Blue,Rise
David Guetta,Flames
Ozuna,Vaina Loca
Charlie Puth,How Long
Post Malone,Better Now
BlocBoy JB,Look Alive (feat. Drake)
Eminem,River (feat. Ed Sheeran)
Marshmello,Happier
Dean Lewis,Be Alright
Charlie Puth,Done for Me (feat. Kehlani)
Migos,Stir Fry
YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)"
Drake,In My Feelings
B Young,Jumanji
Charlie Puth,The Way I Am
Reik,Me Niego (feat. Ozuna & Wisin)
benny blanco,Eastside (with Halsey & Khalid)
Luis Fonsi,Échame La Culpa
MK,17
Rita Ora,Anywhere
Banx & Ranx,Answerphone (feat. Yxng Bane)
Ella Mai,Trip
Daddy Yankee,Dura
DJ Khaled,No Brainer
Anne-Marie,2002
Bruno Mars,Finesse - Remix; feat. Cardi B
FINNEAS,Let's Fall in Love for the Night
Hugh Jackman,The Greatest Show
Halsey,Bad At Love
Drake,I'm Upset
Camila Cabello,Never Be the Same
M.O,Bad Vibe
Dua Lipa,IDGAF
Cashmere Cat,Miss You (with Major Lazer & Tory Lanez)
Bazzi,Mine
Lil Dicky,Freaky Friday (feat. Chris Brown)
Lauv,I Like Me Better
The Chainsmokers,This Feeling
Maroon 5,Girls Like You (feat. Cardi B) - Cardi B Version
Khalid,Love Lies (with Normani)
Drake,Nice For What
Kendrick Lamar,LOVE. FEAT. ZACARI.
Post Malone,Psycho (feat. Ty Dolla $ign)
Lil Nas X,Old Town Road - Remix
Billie Eilish,bad guy
Shawn Mendes,Señorita
Ariana Grande,7 rings
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse
Gesaffelstein,Lost in the Fire (feat. The Weeknd)
Halsey,Without Me
Regard,Ride It
Lady Gaga,Shallow
Mark Ronson,Nothing Breaks Like a Heart (feat. Miley Cyrus)
Lewis Capaldi,Someone You Loved
Jax Jones,All Day And Night
Mustard,Pure Water (with Migos)
NLE Choppa,Shotta Flow (feat. Blueface) [Remix]
Kodak Black,ZEZE (feat. Travis Scott & Offset)
Daddy Yankee,Con Calma
Alec Benjamin,Let Me Down Slowly
BLACKPINK,Kill This Love
Offset,Clout (feat. Cardi B)
MEDUZA,Piece Of Your Heart
Ed Sheeran,Antisocial (with Travis Scott)
Travis Scott,SICKO MODE
Mabel,Mad Love
Lana Del Rey,Doin' Time
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)"
A Boogie Wit da Hoodie,Look Back at It
Saweetie,My Type
Lil Tecca,Ransom
Russ Millions,Keisha & Becky - Remix
Billie Eilish,lovely (with Khalid)
Mabel,Don't Call Me Up
Lil Nas X,Old Town Road
Meek Mill,Going Bad (feat. Drake)
Post Malone,Wow.
Doja Cat,Juicy
A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine)
iann dior,emotions
Paulo Londra,Adan y Eva
Drake,Money In The Grave (Drake ft. Rick Ross)
Lil Nas X,Panini
Bad Bunny,MIA (feat. Drake)
Polo G,Pop Out (feat. Lil Tjay)
Juice WRLD,Robbery
21 Savage,a lot
Young Thug,The London (feat. J. Cole & Travis Scott)
Anuel AA,China
Camila Cabello,Liar
Flipp Dinero,Leave Me Alone
Cardi B,Money
Ariana Grande,"break up with your girlfriend, i'm bored"
Dave,Location (feat. Burna Boy)
Ava Max,Sweet but Psycho
Dua Lipa,Don't Start Now
Young T & Bugsey,Strike a Pose (feat. Aitch)
Calvin Harris,Giant (with Rag'n'Bone Man)
Ed Sheeran,Take Me Back to London (feat. Stormzy)
Cardi B,Please Me
Stormzy,Vossi Bop
Tones And I,Dance Monkey
Ariana Grande,boyfriend (with Social House)
Bad Bunny,Callaita
Ava Max,So Am I
Pedro Capó,Calma - Remix
J. Cole,MIDDLE CHILD
Lunay,Soltera - Remix
Khalid,Better
Blueface,Thotiana
DaBaby,Suge
AJ Tracey,Ladbroke Grove
Billie Eilish,bury a friend
BTS,Boy With Luv (feat. Halsey)
Wiley,Boasty (feat. Idris Elba)
Jonas Brothers,Only Human
5 Seconds of Summer,Easier
Avicii,SOS (feat. Aloe Blacc)
"Tyler, The Creator",EARFQUAKE
Ashley O,On A Roll
Dominic Fike,3 Nights
Sigala,Wish You Well
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)
Anuel AA,Secreto
Sam Feldt,Post Malone (feat. RANI)
Kehlani,Nights Like This (feat. Ty Dolla $ign)
Sech,Otro Trago
Post Malone,Better Now
Ed Sheeran,Cross Me (feat. Chance the Rapper & PnB Rock)
Lauv,i'm so tired...
iann dior,gone girl
Panic! At The Disco,High Hopes
Marshmello,One Thing Right
Sam Smith,How Do You Sleep?
NSG,Options
Normani,Motivation
Joel Corry,Sorry
Post Malone,Goodbyes (Feat. Young Thug)
Jonas Brothers,Sucker
Taylor Swift,Cruel Summer
Blanco Brown,The Git Up
Sam Smith,Dancing With A Stranger (with Normani)
Post Malone,Circles
